,shuffNet1,shuffNet2,shuffNet3,shuffNet4,shuffNet5,shuffNet6,shuffNet7,shuffNet8,shuffNet9,shuffNet10,shuffNet11,shuffNet12,shuffNet13,shuffNet14,shuffNet15,shuffNet16,shuffNet17,shuffNet18,shuffNet19,shuffNet20,shuffNet21,shuffNet22,shuffNet23,shuffNet24,shuffNet25,shuffNet26,shuffNet27,shuffNet28,shuffNet29,shuffNet30,shuffNet31,shuffNet32,shuffNet33,shuffNet34,shuffNet35,shuffNet36,shuffNet37,shuffNet38,shuffNet39,shuffNet40,shuffNet41,shuffNet42,shuffNet43,shuffNet44,shuffNet45,shuffNet46,shuffNet47,shuffNet48,shuffNet49,shuffNet50
Hashimoto24,0.01169126111441876,0.011654524212421202,0.01186251582227713,0.011774897056556093,0.011653696665653105,0.012093109434843582,0.011739857751543672,0.012289245313259464,0.012057615747556956,0.012010645980421153,0.012040766175737676,0.012022352698550233,0.011929891220016309,0.012042199676679159,0.011760128517825865,0.011646440306656531,0.011807337710024991,0.011825304625081296,0.011711827538664928,0.01237989167004089,0.01158675406940951,0.01244256659360019,0.012021561202055504,0.012012069959731718,0.012015848892659935,0.012512128767876747,0.011713065505242865,0.011628740534834188,0.011817635415664853,0.011600612577435922,0.011768631431541589,0.012511409791341879,0.012018965783722751,0.011849505680515229,0.01168850541744991,0.011988213712110198,0.011677391358310167,0.011766240277745523,0.012192847465289819,0.011881506148796022,0.011917883016280394,0.01181546699500549,0.011794670599381107,0.011587673843300157,0.012142022897229375,0.01158903096503229,0.011798986771965215,0.011760021916666051,0.011425772848004294,0.011726116521746523
Gou24_livercancer,0.056239131240809676,0.056149196914100426,0.05620160439900076,0.056243872770130335,0.056208904762437666,0.05622448603920082,0.056379341708576974,0.056647045498828194,0.05637273521543387,0.0561791397251015,0.056353500450973266,0.05624283597036002,0.056188846009049484,0.056220327545145506,0.05617793197119858,0.05627101284789007,0.056355475409561234,0.05622024076485601,0.05623121827356539,0.05624025261745633,0.0566734427427793,0.05627842789989799,0.05613064735175169,0.056162938475444804,0.056350920353516826,0.05668505447755793,0.056262650379798634,0.056295892059131186,0.056153792064086626,0.05626430802556371,0.05631001662852195,0.057668871263265274,0.05620133551904219,0.05622186276025192,0.05618156432162752,0.056353831148073776,0.05618444090759673,0.05624897899544039,0.05632808361947183,0.05623852436573737,0.05621187421450452,0.0562173775191668,0.05614337186047027,0.05615829382822807,0.05621037651762864,0.05616888184181782,0.05610580981409411,0.05626148481536143,0.056170340680828545,0.056278703890866
Gou24_lung,0.035917558406656135,0.03588016756072138,0.03577597676644787,0.036306051750862114,0.03644059715772692,0.03586575040630219,0.0443967240735478,0.03749981598447615,0.03570994263907477,0.03612400829141875,0.036284568165989024,0.03595554125142142,0.036295395932956026,0.03580429199697991,0.0357723864218083,0.03608617931010913,0.0367728983311315,0.03666543002528709,0.03632771915503044,0.037141201183540085,0.036307623003730985,0.041503898294712724,0.036423470989896914,0.03663381637960826,0.03624803865389342,0.03608643134981945,0.03622261414263225,0.03614641754675018,0.03622798586891465,0.03599825206365993,0.03588701548520116,0.03614771140077743,0.035997262656130104,0.03749727686876655,0.03873381546808715,0.03634976431138634,0.0358399890549584,0.03624439526207332,0.037555186532237966,0.03631299588272591,0.03721699241754502,0.036037490771570015,0.03690743173871307,0.03653216004510171,0.03595783067202303,0.03576522051442275,0.03674747981938412,0.035927071209234177,0.03640370707542904,0.036875521491726994
Kumbrink24_1v2,0.035953842281159325,0.03598256121883907,0.03582932467544801,0.03718342633512315,0.037436477349968016,0.036937820184528965,0.03667134675470715,0.03623273103059057,0.03704280652997141,0.03635344262729984,0.03595065843058148,0.03608467682026388,0.036900388285405705,0.036330979657629874,0.0357501048653199,0.037041035036428846,0.035891016472643804,0.03685519344610267,0.035923949985107215,0.035858525469439136,0.03719624513942609,0.03650358401454281,0.038898680797178016,0.03587990530812641,0.03623685943769041,0.03611503800468289,0.03586879862685344,0.036513240252678346,0.03642032167671462,0.035907045364141986,0.03583147099899452,0.03712729364484179,0.0361906374977601,0.036470029849000794,0.03706871657791935,0.036651445687993604,0.03606736410681652,0.03590731411187522,0.03587779827489394,0.03962313566236281,0.03593460979610506,0.03597256877765532,0.036496772480124194,0.03722332360729111,0.03659837134025626,0.03676501516729457,0.036805358063127756,0.036061921685570736,0.03712606620509296,0.03591024741107064
Kumbrink24_2v3,0.03663014034730229,0.03712806241309402,0.036422950012461854,0.036417348348212815,0.03720040003451449,0.03650166968769158,0.03636564964993883,0.0363042484207379,0.03645046015131959,0.037250540204658254,0.0378010918214662,0.036222564801277016,0.03703603762150431,0.036223704186496286,0.03614983982884625,0.036937417468770835,0.03650942605321841,0.038002205029370247,0.03618072423855832,0.03697140450772651,0.036536054631023517,0.03665068800818813,0.03638329134290107,0.03613323820023786,0.0365854469832373,0.03655593449240095,0.03632532137248752,0.03689138916094777,0.036320796531685184,0.037393909027867094,0.03785493945767751,0.03743134591970889,0.036357011914897194,0.0365766026439043,0.036831289642120915,0.037373823907856325,0.03631764870407176,0.03624137029961811,0.036124687001226674,0.03706078029725959,0.03639217694695189,0.03705653625401653,0.03667749860205947,0.036042334748704316,0.03650140926026692,0.037206206449306285,0.03713967477750649,0.03692545210663009,0.03642023083283687,0.0364299782752073
Qian24_DEG_PANoptosis,0.023138009922370327,0.023253069210801627,0.02333375498927121,0.02320187048705269,0.023198218199803052,0.023156496397649714,0.023138593217207654,0.02338964040833711,0.023302993014474187,0.023522587442731516,0.02324536692326802,0.023369464448746706,0.02318903759203712,0.02315712351460577,0.023435692649044198,0.023115393910376564,0.02331089705131138,0.023145837367271768,0.02384784750185231,0.023213199676448207,0.02336164104388576,0.02337873389564094,0.02332383090212036,0.02320693188230683,0.023143915932973227,0.02316348706106639,0.02321035800222602,0.023120743438986048,0.02330389013162794,0.023086507240581443,0.023127227227833048,0.02313925214722379,0.02345105516819287,0.023075138524571933,0.023127602025798125,0.023243617091897623,0.023224750940620587,0.02323503042314539,0.023398412546263708,0.023251576381181596,0.023109588043714786,0.02315017910742512,0.023243315736477685,0.023294366776587232,0.023183636150786398,0.02319578525856761,0.02309365923197845,0.023191916300841477,0.023222787017480533,0.023285964371639406
Veleri24_cilia,0.05663493832375867,0.05639274915492072,0.056336428219025375,0.05634556054464656,0.05645177131596357,0.05635933195280479,0.056328683231694765,0.05640582344411035,0.056393113567384585,0.056523159408472294,0.056362617832845165,0.0564603903359381,0.0563839235429039,0.05647391242694878,0.05647704087133617,0.056381203061957305,0.05651800452473612,0.05653635711940378,0.056375523785379494,0.0564837492691493,0.05629294755205696,0.05635247405167551,0.06103136049832561,0.05672967978925348,0.05706362928768434,0.056493835174067586,0.05647608933588785,0.05657234907255623,0.05646350106464755,0.056635652417647044,0.056354699238232345,0.05630532628841875,0.0565551500434856,0.05645514816295652,0.0565723583328655,0.05637949932702241,0.05658217638085083,0.056529530958946944,0.05653530650293509,0.05639573508071921,0.05676381623183601,0.05665173999213344,0.05657637053182099,0.05641573900148244,0.056314460069038966,0.0564927210352043,0.056362529539870726,0.0564968666795005,0.05634056871503543,0.05640903116691125
Yu24,0.031586180555608606,0.03117732700032847,0.03105815015723547,0.0311167009738391,0.03151893940866333,0.031193245750096663,0.031863584048134955,0.03304098692760947,0.031236038835060514,0.031091507654594754,0.030968375074719844,0.03146124359160294,0.03134635850874849,0.03183907098840813,0.0312185966749963,0.03256677452774093,0.031031912148077764,0.031146548085348967,0.031280427069644186,0.03125260369831521,0.03238099084672688,0.031711349757061524,0.03099167276833462,0.03132306233832787,0.031832119266240765,0.03119352133800571,0.03228376325296036,0.0315356267181667,0.03172222329413619,0.03175285510549748,0.031223393174425212,0.03223684118164198,0.03176811912985704,0.031120034114573678,0.03398976238052754,0.031169202298606664,0.032049240408222074,0.03197683289250483,0.03172514643485901,0.03111233371801541,0.030974149056816617,0.03194513911485736,0.03281230899833913,0.033568820064262025,0.03142576238548304,0.03143943099849858,0.03413501059682611,0.03232936812069542,0.031163357885506886,0.031669845307250484
Zhao24_CAFRGs,0.02622904805560919,0.026462764165558594,0.02570496097506876,0.025903742037719266,0.025797958310929348,0.02579955172246844,0.02590175099653431,0.025986801611227593,0.025794717770346427,0.02613205933180918,0.026060503196090892,0.025787071917878487,0.02630683606075451,0.02616220356215919,0.02579217216691126,0.0259622903964652,0.026153787797568016,0.025917128394986978,0.027304350677900904,0.025907264069509224,0.025907138390751486,0.0269905000686506,0.025726899095697517,0.026129782436145922,0.026072688840616087,0.026150501225188628,0.026466628164183135,0.02591817871551163,0.026266724477333168,0.02695031515584006,0.026313161157209032,0.025640242669946953,0.026157219032243197,0.02670123005910914,0.025996862529431803,0.026780958603946855,0.026239385543283877,0.025760543059067133,0.02585030600800905,0.02618589148678042,0.026447299713697355,0.02677151475200801,0.02562168929589954,0.025811704019279184,0.025874880372178,0.025953539032644194,0.02588076745222326,0.025954814791352542,0.026399027326470446,0.025970229207826722
Reed24_Histone demethylation module,0.05632575769049754,0.05626774424271159,0.056311359157908344,0.056383682804192564,0.05643590015202029,0.05639565080915097,0.05631113998082931,0.05627531955197668,0.056284688574604926,0.058898636145708706,0.05631683287785406,0.056746776154659465,0.0563326241135055,0.05643796424314959,0.05669159609088454,0.056333001531317956,0.05635648709609195,0.0567656154750772,0.05637114991651083,0.057283548844679656,0.05674575575399628,0.056359970268728334,0.05635901153995161,0.056297495442246055,0.05645386446508604,0.05624383383954162,0.05633986147815886,0.05634732751485296,0.05628961537256352,0.05642512997741855,0.05633053260929924,0.05625352185778874,0.05631578044908632,0.05641012347026022,0.05628603000783471,0.05640866961676325,0.05708726370073361,0.05639544261532434,0.05630165276533116,0.05692489175834452,0.05632448673548505,0.056383296300746795,0.056352746866341424,0.056458750785316564,0.05631932508993536,0.056349433736641086,0.05631399040716963,0.05644441654492179,0.05649948407472688,0.056406931644149776
Reed24_Leukocyte module,0.017821617754814657,0.01706009585612594,0.01772845508807494,0.017725556213422148,0.01769558792889663,0.017107393297596803,0.01736590384139295,0.017951150549843874,0.021092561443795184,0.01984132187581785,0.017383597904537106,0.017784974425231578,0.016890824778346126,0.01736046632085283,0.01754795795343146,0.017948795307781297,0.017702944228100398,0.018497052419647567,0.018878551190701434,0.019213527481782976,0.01774052258095684,0.01817524379781845,0.019390376906459717,0.017360219306253984,0.017791962878163214,0.02131705608989968,0.01827038991838039,0.01876242731694733,0.017693865553769464,0.01733225832409131,0.01762977011423341,0.01707925873263496,0.02107727079003238,0.017576541989523707,0.018796481597921508,0.017627989779135142,0.017898421553870697,0.01780463433847603,0.01705968252640773,0.017971186892892885,0.016989447661655038,0.01773900639559885,0.017001627586181872,0.017582820203182546,0.017337199104352795,0.01915119592140337,0.017864626297523743,0.017826006084952682,0.01721846123586798,0.018687768707296146
Reed24_Cell cycle module,0.021982375504980164,0.02138470216321417,0.022698834953914736,0.02222611650769532,0.022872960783903776,0.022613679744487837,0.023241128589353982,0.02278653527454297,0.021543943207035173,0.023363850611147177,0.02303149938640078,0.02440765827241498,0.02161264939460758,0.023953431516279745,0.022416585194271952,0.022169343159336302,0.022547492916272813,0.02231153272915122,0.021894628115559457,0.02338159754709576,0.023153409890822325,0.02182087933596334,0.022635346939641116,0.024387438852087516,0.02292240310293535,0.02197998717027366,0.02279721929109256,0.021423696227994803,0.022169528706908994,0.021637951316939557,0.02218281313501526,0.021397641845901597,0.02195633776695046,0.022702318886336514,0.022705610911265245,0.022503110868890185,0.025681438746951262,0.023386114009516668,0.021216539842279745,0.022141450156163152,0.021811289582814794,0.023834397666308845,0.021843435361735986,0.023144341239377537,0.021972979211053026,0.022033343931658837,0.021048668163775243,0.022197238816501735,0.025518954511494326,0.022763357694037988
Reed24_Cellular response to stimulus module,0.038675208649691775,0.03421319410144845,0.03557018743100966,0.03481659510560592,0.038368228723029765,0.038789071917628856,0.04183938148920336,0.03750857677347394,0.044906905231878985,0.03660756767312694,0.03724957162787524,0.0392300200641733,0.040314807921475175,0.04130599062289344,0.03949640171915651,0.04313566404035294,0.04115551408350639,0.038047758766878235,0.03862748307956018,0.0390888220942238,0.03931143596134313,0.038730979656700686,0.03805736840784137,0.0377197481384481,0.04150808470885956,0.037878390285589494,0.03727361077592995,0.03930463456399895,0.035017155964232674,0.03922010546084564,0.03835229776984241,0.03861086731717133,0.03967437083239544,0.039746009908070465,0.03840950526069248,0.03798095810764713,0.04001940241443431,0.04204658936625791,0.0418936208811594,0.03621270838468191,0.04058738713508749,0.03939333531515293,0.039799123453785674,0.039035719037260684,0.03756799386536805,0.040925003126711317,0.043057785284713275,0.03565702405628011,0.03979884763035954,0.03789876085845642
Reed24_Catabolic process module,0.014852923383291677,0.0146006847990562,0.014014103446172122,0.013768674189959494,0.0135707318165436,0.01407070394469733,0.013882758012087241,0.013718538056090681,0.013810091595651476,0.013810919458554356,0.013805969504035454,0.014161155926843673,0.013785596526253557,0.014303251953365561,0.014179581741739566,0.013936432819503504,0.0138498306831227,0.014042496940479272,0.013547504264127591,0.0136521226912951,0.01391594761715904,0.014529950292937726,0.013907186303665822,0.013758289843970118,0.013678355780349401,0.013962315681614147,0.014028451216108436,0.01422571083250057,0.01353618147491513,0.014011904337930403,0.014243959747257418,0.013799174215108035,0.013579706961595337,0.014300550710809266,0.013808654639977632,0.013924430901925886,0.014496464003308236,0.01383968719969457,0.013718454394548845,0.014014268163782291,0.013920913137191413,0.01355435420664551,0.013804744477834023,0.013716196136247145,0.01499176309843836,0.013443580601878759,0.01401765515646976,0.013716055029609804,0.013947601373316259,0.013701233239790982
Reed24_Organic acid metabolic process module,0.010488326887213982,0.010479847582056126,0.01020370388270131,0.010369286951911123,0.010498283478164346,0.010455357598239292,0.01042190430913051,0.010419541491058433,0.01010969696883101,0.010334610064700989,0.010168984875447061,0.010352205437593623,0.010353317090066563,0.010521866714633487,0.010347829913373397,0.010248595491214551,0.010358713275099997,0.010518983475405239,0.010248568659217545,0.010410530774947396,0.010190152730352899,0.010547029552185496,0.010231947408549425,0.010393129355092895,0.010228195221266032,0.010278888548886695,0.010214999097672565,0.010384193138528628,0.010262894250181677,0.010390525917322308,0.010437626907777664,0.010420208689319926,0.010492640716252137,0.010088131089722447,0.010265313734769474,0.01026181751848374,0.010506240598044232,0.010270149353770826,0.010563039303028519,0.010393781877061836,0.010264868804538873,0.010475307309260582,0.010300537305170374,0.010558490109209824,0.010333566925874442,0.010176220502994675,0.010323131537051066,0.010573459298024732,0.010574234718612501,0.010236772445358745
Reed24_Endoplasmic reticulum module,0.014060643328815035,0.01427393423095564,0.014197670698644757,0.014198481005571553,0.014016231428013393,0.01419767532986705,0.014404827563365094,0.014108620884103244,0.014328643768632606,0.014264553655789656,0.014060776141195488,0.013951576097056812,0.014511857176254939,0.013970297099675757,0.013931161821349427,0.013962663683523653,0.014219051043822371,0.01399396129963002,0.01400028006132666,0.013850658506479659,0.014075155227385387,0.013995906555978604,0.013979285603165723,0.01410919851663826,0.013974411288780584,0.014194234787086863,0.014182877146306571,0.014038089253951449,0.013933364180698555,0.014097268850954074,0.015099113219309648,0.01396358023674283,0.014131590206868385,0.014195873629463935,0.013906605450727652,0.014432909910321352,0.014790692835501176,0.01423782485683052,0.014204993086721738,0.013989989975654158,0.013987814984745385,0.014143685654420346,0.01420781533843399,0.01429218040247619,0.014178799354474532,0.014175489067019795,0.014199857563466842,0.014415461495430855,0.01399457422332393,0.014175556069556934
Reed24_Neutrophil activation module,0.014042765275434282,0.013685760596609135,0.013775709624488493,0.014251812184473061,0.014273742606066796,0.013527369724965503,0.014551151251071384,0.013681726980358966,0.013737538972528664,0.013295689618629597,0.014019493741892342,0.014874669898055965,0.013868523754160393,0.014195275589706515,0.01392605890011903,0.014085219816922259,0.01370065698999684,0.013612591486008362,0.014361783275256118,0.013850807222290942,0.013958488878367781,0.014834435800690531,0.013781684400389975,0.01368547847024342,0.014020532575417527,0.014016075388540494,0.013479738476214847,0.013811419964376482,0.014160188077938916,0.01400343005334081,0.01378210526219252,0.014448945653918388,0.013894928701700457,0.013937813521779217,0.01361918719719094,0.013786418945626202,0.013785560675960014,0.013926958579303426,0.013683738669028674,0.014139003627682658,0.013060856839307095,0.013545955546364688,0.01410941094611266,0.013897143477183148,0.0141242604524101,0.014208768377966773,0.013957508413508457,0.01420684098954365,0.013776364044871143,0.013984870217115484
